"filename", "language", "Dart", "YAML", "Gradle", "Markdown", "XML", "Java Properties", "JSON", "C++", "Swift", "HTML", "comment", "blank", "total"
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/widgets/buttons/icon.button.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/widgets/buttons/text.button.dart", "Dart", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 106
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/widgets/category/category.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/widgets/comment/comment.dart", "Dart", 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 202
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/widgets/listtile/button.listtile.dart", "Dart", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 107
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/widgets/listtile/simple.listtile.dart", "Dart", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 89
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/widgets/listtile/switch.listtile.dart", "Dart", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 91
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/widgets/modal/modal.dart", "Dart", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 99
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/ui/widgets/textfield/textfield.dart", "Dart", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 135
"/Users/omidshabab/Documents/GitHub/landina_coupon/lib/utilities/uniqueId.utilites.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/omidshabab/Documents/GitHub/landina_coupon/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 5, 20
"/Users/omidshabab/Documents/GitHub/landina_coupon/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 6, 16
"/Users/omidshabab/Documents/GitHub/landina_coupon/linux/main.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/Users/omidshabab/Documents/GitHub/landina_coupon/linux/my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 11, 20, 105
"/Users/omidshabab/Documents/GitHub/landina_coupon/linux/my_application.h", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7, 5, 19
"/Users/omidshabab/Documents/GitHub/landina_coupon/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 4, 27
"/Users/omidshabab/Documents/GitHub/landina_coupon/macos/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/omidshabab/Documents/GitHub/landina_coupon/macos/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/omidshabab/Documents/GitHub/landina_coupon/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"/Users/omidshabab/Documents/GitHub/landina_coupon/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 69
"/Users/omidshabab/Documents/GitHub/landina_coupon/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 1, 344
"/Users/omidshabab/Documents/GitHub/landina_coupon/macos/Runner/GoogleService-Info.plist", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 34
"/Users/omidshabab/Documents/GitHub/landina_coupon/macos/Runner/Info.plist", "XML", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/omidshabab/Documents/GitHub/landina_coupon/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Users/omidshabab/Documents/GitHub/landina_coupon/macos/firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"/Users/omidshabab/Documents/GitHub/landina_coupon/pubspec.yaml", "YAML", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 110
"/Users/omidshabab/Documents/GitHub/landina_coupon/test/widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/omidshabab/Documents/GitHub/landina_coupon/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 16, 6, 59
"/Users/omidshabab/Documents/GitHub/landina_coupon/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"/Users/omidshabab/Documents/GitHub/landina_coupon/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 5, 21
"/Users/omidshabab/Documents/GitHub/landina_coupon/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 6, 16
"/Users/omidshabab/Documents/GitHub/landina_coupon/windows/runner/flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 4, 13, 62
"/Users/omidshabab/Documents/GitHub/landina_coupon/windows/runner/flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 9, 34
"/Users/omidshabab/Documents/GitHub/landina_coupon/windows/runner/main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 4, 10, 44
"/Users/omidshabab/Documents/GitHub/landina_coupon/windows/runner/resource.h", "C++", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 6, 2, 17
"/Users/omidshabab/Documents/GitHub/landina_coupon/windows/runner/utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 2, 10, 65
"/Users/omidshabab/Documents/GitHub/landina_coupon/windows/runner/utils.h", "C++", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 6, 6, 20
"/Users/omidshabab/Documents/GitHub/landina_coupon/windows/runner/win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 15, 48, 246
"/Users/omidshabab/Documents/GitHub/landina_coupon/windows/runner/win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 29, 22, 99
"Total", "-", 9837, 105, 96, 13, 797, 8, 428, 516, 52, 37, 308, 723, 12920
